name,rating,price,address
Dune Taperia,4.2,€,"Calle de Sicília, 111, Barcelona"
Restaurant Can Tuchana S.L.,4,N/A,"Carrer de la Ciutat de Granada, 33, Barcelona"
Restaurante Jamonería Exquisita,4.4,€,"Carrer de Padilla, 215, Barcelona"
Restaurant Cafeteria Jardí,4.3,€,"Carrer de Cartagena, 217, Barcelona"
Diamàntic,3.9,€,"Carrer de Tànger, 54, Barcelona"
Mare Meva,4.6,€,"Carrer de Bolívia, 31, Barcelona"
Sauleda Pastissers,4,N/A,"Plaça de les Glòries Catalanes, 38, Barcelona"
Restaurant Rebeka,4.3,€€,"Carrer dels Almogàvers, 107, Barcelona"
El Mirall Dels Encants,3.7,€,"Carrer de los Castillejos, 158, Barcelona"
el rei del kebab,3.5,€,"Carrer de Pere IV, 100, Barcelona"
Wapa Tapes i Restaurant,4,€,"Avinguda Diagonal, 203, Barcelona"
Cuina del mercat,4.3,N/A,"Avenida Diagonal 201, (Entrada por Ciutat de Granada), Avinguda Diagonal, 201, Barcelona"
Die Spiegel,4,€,"Carrer de Pere IV, 117, Barcelona"
Cata de Catacroquet,4.2,€€,"Carrer dels Almogàvers, 211, Barcelona"
McDonald's,3.6,€,"Les Glories, Avenida Diagonal, 188 Centro Comercial, Local 201, Barcelona"
La Mossegada,4,€,"Carrer de Roc Boronat, 92, Barcelona"
